k = 1,k = 2,k = 3,k = 4,k = 5,k = 6,k = 7,k = 8,k = 9,k = 10,k = 11,k = 12,k = 13,k = 14,k = 15,k = 16,k = 17,k = 18,k = 19,k = 20,k = 21,k = 22,k = 23,k = 24,k = 25,k = 26,k = 27,k = 28,k = 29,k = 30
3.0994415283203125e-06,4.0531158447265625e-06,6.198883056640625e-06,2.694129943847656e-05,2.193450927734375e-05,4.410743713378906e-05,8.606910705566406e-05,0.0001981258392333,0.0004661083221435,0.0010459423065185,0.0040609836578369,0.005578041076660156,0.023442268371582,0.031883955001831,0.0837759971618652,0.2652239799499511,0.9183528423309326,3.3667709827423096,12.855512857437134,51.06254482269287,201.2973730564117,806.2617998123169,3249.949942111969,,,,,,,
0.0,2.6226043701171875e-06,4.0531158447265625e-06,2.5033950805664062e-05,2.09808349609375e-05,3.790855407714844e-05,8.702278137207031e-05,0.0001959800720214,0.0004770755767822,0.0011012554168701,0.0073070526123046,0.011361837387084961,0.0229489803314209,0.0326452255249023,0.0881431102752685,0.2755701541900635,0.9113268852233888,3.350558996200561,12.877454042434692,51.28170084953308,203.03933215141296,809.1428909301758,3255.139173746109,,,,,,,
9.5367431640625e-07,2.1457672119140625e-06,3.0994415283203125e-06,2.193450927734375e-05,2.002716064453125e-05,3.5762786865234375e-05,8.296966552734375e-05,0.0001800060272216,0.0004422664642333,0.0009849071502685,0.002803087234497,0.005254983901977539,0.0141730308532714,0.0309407711029052,0.0847251415252685,0.2641282081604004,0.918470859527588,3.3621060848236084,12.910213232040403,51.23410701751709,202.76102304458607,810.1213989257812,3250.534882068634,,,,,,,
9.5367431640625e-07,7.152557373046875e-07,4.0531158447265625e-06,2.312660217285156e-05,1.621246337890625e-05,3.62396240234375e-05,8.893013000488281e-05,0.0001780986785888,0.0004301071166992,0.0009918212890625,0.0025470256805419,0.005502939224243164,0.012387990951538,0.0313029289245605,0.0888218879699707,0.2730250358581543,0.906890869140625,3.36824107170105,12.935415267944336,51.20606112480164,202.7831952571869,814.0036060810089,3248.268343687057,,,,,,,
9.5367431640625e-07,1.1920928955078125e-06,2.86102294921875e-06,2.002716064453125e-05,2.002716064453125e-05,3.62396240234375e-05,8.392333984375e-05,0.0001990795135498,0.0004270076751708,0.0010550022125244,0.0051217079162597,0.005631923675537109,0.0135612487792968,0.0298879146575927,0.0844130516052246,0.2652616500854492,0.9109430313110352,3.384140014648437,12.824097633361816,51.160792112350464,202.79262590408325,814.1437077522278,3249.5519688129425,,,,,,,
9.5367431640625e-07,1.1920928955078125e-06,2.86102294921875e-06,2.47955322265625e-05,1.71661376953125e-05,4.076957702636719e-05,8.869171142578125e-05,0.000195026397705,0.0004401206970214,0.0009901523590087,0.0025210380554199,0.005439043045043945,0.0122900009155273,0.0308287143707275,0.0836880207061767,0.2658219337463379,0.9244978427886964,3.34932804107666,12.945372819900513,51.20018887519837,202.8832347393036,810.2383480072021,3246.6116740703583,,,,,,,
1.1920928955078125e-06,9.5367431640625e-07,3.0994415283203125e-06,3.5762786865234375e-05,1.5974044799804688e-05,3.719329833984375e-05,8.487701416015625e-05,0.0001900196075439,0.0004098415374755,0.0010211467742919,0.0022971630096435,0.005677938461303711,0.0127608776092529,0.0309391021728515,0.0860638618469238,0.271122932434082,0.9193880558013916,3.359419822692871,12.885663986206056,51.12322092056274,202.8682780265808,810.0479180812836,3244.6233122348785,,,,,,,
0.0,2.1457672119140625e-06,3.0994415283203125e-06,2.5033950805664062e-05,1.6927719116210938e-05,3.5762786865234375e-05,8.082389831542969e-05,0.0001888275146484,0.0004358291625976,0.0027000904083251,0.0022389888763427,0.0063478946685791016,0.0127248764038085,0.0306851863861084,0.0888388156890869,0.268550157546997,0.9052088260650636,3.3657472133636475,12.95101809501648,50.97142314910889,203.08306193351743,810.9630777835846,3248.020714998245,,,,,,,
0.0,1.1920928955078125e-06,3.814697265625e-06,2.193450927734375e-05,1.621246337890625e-05,3.933906555175781e-05,7.677078247070312e-05,0.0002059936523437,0.0004100799560546,0.0009729862213134,0.0023889541625976,0.005494117736816406,0.0125200748443603,0.0306718349456787,0.0850210189819336,0.2663009166717529,0.916435956954956,3.3998711109161377,12.998615026474,51.076303005218506,202.78853821754456,811.2558450698853,3250.530314207077,,,,,,,
9.5367431640625e-07,9.5367431640625e-07,2.86102294921875e-06,2.2172927856445312e-05,1.7881393432617188e-05,3.504753112792969e-05,9.393692016601562e-05,0.000195026397705,0.0004291534423828,0.0010128021240234,0.0021858215332031,0.005185604095458984,0.0123488903045654,0.0303428173065185,0.0849452018737793,0.2655010223388672,0.9090542793273926,3.369179964065552,13.17728304862976,50.95927286148071,202.6031219959259,809.9114081859589,3247.3803169727325,,,,,,,
