k = 1,k = 2,k = 3,k = 4,k = 5,k = 6,k = 7,k = 8,k = 9,k = 10,k = 11,k = 12,k = 13,k = 14,k = 15,k = 16,k = 17,k = 18,k = 19,k = 20,k = 21,k = 22,k = 23,k = 24,k = 25,k = 26,k = 27,k = 28,k = 29,k = 30
7.009506225585938e-05,6.890296936035156e-05,6.985664367675781e-05,7.200241088867188e-05,0.0002138614654541,0.0002317428588867,9.393692016601562e-05,0.0003352165222167,0.0004560947418212,0.0008430480957031,0.000533103942871,0.0017609596252441,0.0018830299377441,0.003762960433959961,0.0076608657836914,0.0151422023773193,0.0285320281982421,0.0561041831970214,0.1165850162506103,0.2483928203582763,0.5199489593505859,1.0524568557739258,2.1421098709106445,5.055365800857544,10.18315887451172,18.689217805862427,,,,
6.604194641113281e-05,6.604194641113281e-05,6.818771362304688e-05,7.033348083496094e-05,0.0002858638763427,0.0002241134643554,9.226799011230467e-05,0.0003321170806884,0.0005750656127929,0.0002970695495605,0.0016119480133056,0.0009989738464355,0.0048036575317382,0.003718852996826172,0.0080430507659912,0.0146851539611816,0.0273098945617675,0.0571339130401611,0.11716890335083,0.2458400726318359,0.5183401107788086,1.06266188621521,2.1367318630218506,4.978553056716919,9.9969220161438,19.88081312179565,,,,
6.604194641113281e-05,6.4849853515625e-05,6.771087646484375e-05,6.890296936035156e-05,0.0002748966217041,0.0002262592315673,9.298324584960938e-05,0.0003309249877929,0.0004980564117431,0.0002920627593994,0.0016310214996337,0.0009889602661132,0.0018808841705322,0.0037789344787597656,0.0075037479400634,0.0140941143035888,0.0275020599365234,0.0562107563018798,0.1162700653076171,0.2448010444641113,0.5103671550750732,1.0574369430541992,2.0807669162750244,4.983880043029785,9.90875005722046,18.88057780265808,,,,
6.604194641113281e-05,6.508827209472656e-05,0.0006170272827148,6.914138793945312e-05,0.0002918243408203,0.0002229213714599,9.41753387451172e-05,0.0003371238708496,0.0004968643188476,0.000291109085083,0.0008707046508789,0.0009868144989013,0.001863956451416,0.003749847412109375,0.0071568489074707,0.0139181613922119,0.0273380279541015,0.055459976196289,0.1163170337677002,0.2476382255554199,0.5040690898895264,1.0639960765838623,2.119056224822998,5.051944017410278,10.190045356750488,20.302262783050537,,,,
6.604194641113281e-05,6.508827209472656e-05,6.890296936035156e-05,6.67572021484375e-05,0.0003392696380615,0.000352144241333,8.893013000488281e-05,0.0003440380096435,0.0005533695220947,0.0002899169921875,0.0005280971527099,0.0009870529174804,0.0019209384918212,0.0036809444427490234,0.007441759109497,0.0140430927276611,0.028393268585205,0.0563921928405761,0.1199889183044433,0.2452321052551269,0.5171229839324951,1.031195878982544,2.103847980499268,4.956947088241577,10.024535179138184,18.78953504562378,,,,
6.4849853515625e-05,6.4849853515625e-05,6.699562072753906e-05,7.176399230957031e-05,0.0002241134643554,0.0002260208129882,9.107589721679688e-05,0.0003163814544677,0.000493049621582,0.0002920627593994,0.000525951385498,0.0019888877868652,0.0019381046295166,0.003690004348754883,0.0070981979370117,0.0139191150665283,0.0273458957672119,0.055333137512207,0.1191780567169189,0.2538180351257324,0.5168068408966064,1.0534489154815674,2.0942232608795166,4.970093965530396,10.182328939437866,19.47628808021545,,,,
6.508827209472656e-05,6.508827209472656e-05,6.604194641113281e-05,6.985664367675781e-05,0.0003378391265869,0.0002229213714599,9.012222290039062e-05,0.0001170635223388,0.0005939006805419,0.0002908706665039,0.0006539821624755,0.0027530193328857,0.0018661022186279,0.0035247802734375,0.0069520473480224,0.014355182647705,0.0275580883026123,0.0557203292846679,0.1194911003112793,0.2456183433532714,0.5101919174194336,1.0361149311065674,2.128049850463867,5.073959827423096,10.628205060958862,19.23402190208435,,,,
6.508827209472656e-05,6.4849853515625e-05,6.604194641113281e-05,6.818771362304688e-05,7.510185241699219e-05,0.0002551078796386,8.893013000488281e-05,0.0001142024993896,0.0001821517944335,0.0002920627593994,0.0005240440368652,0.0009620189666748,0.0018670558929443,0.0035889148712158203,0.0072119235992431,0.0139400959014892,0.0274391174316406,0.0556521415710449,0.1177060604095459,0.2481782436370849,0.5090937614440918,1.0679941177368164,2.127683162689209,4.970000982284546,10.11385703086853,20.386339902877808,,,,
6.508827209472656e-05,6.4849853515625e-05,6.628036499023438e-05,6.985664367675781e-05,7.081031799316406e-05,0.0002429485321044,9.393692016601562e-05,0.0001149177551269,0.0001759529113769,0.0002899169921875,0.0005230903625488,0.0009682178497314,0.0018792152404785,0.003593921661376953,0.0074741840362548,0.0139529705047607,0.0284469127655029,0.0559890270233154,0.1188759803771972,0.2443158626556396,0.5001349449157715,1.0556480884552002,2.0872912406921387,5.011340141296387,9.8159601688385,18.63237714767456,,,,
6.508827209472656e-05,6.4849853515625e-05,6.604194641113281e-05,6.771087646484375e-05,7.104873657226562e-05,0.0002341270446777,9.27448272705078e-05,0.000115156173706,0.000176191329956,0.0002908706665039,0.002371072769165,0.0009629726409912,0.0019171237945556,0.0035409927368164062,0.0071818828582763,0.0140089988708496,0.02716064453125,0.0563559532165527,0.1172301769256591,0.2531700134277344,0.5035929679870605,1.0622551441192627,2.124018907546997,5.0039050579071045,9.926931858062744,19.3909969329834,,,,
