k = 1,k = 2,k = 3,k = 4,k = 5,k = 6,k = 7,k = 8,k = 9,k = 10,k = 11,k = 12,k = 13,k = 14,k = 15,k = 16,k = 17,k = 18,k = 19,k = 20,k = 21,k = 22,k = 23,k = 24,k = 25,k = 26,k = 27,k = 28,k = 29,k = 30
2.86102294921875e-06,1.0967254638671877e-05,1.0967254638671877e-05,2.002716064453125e-05,3.814697265625e-05,0.0002291202545166,0.0001580715179443,0.0003721714019775,0.0007390975952148,0.0015711784362792,0.003335952758789,0.0120348930358886,0.0115067958831787,0.030487060546875,0.0392568111419677,0.0901281833648681,0.165158987045288,0.3287379741668701,0.6269481182098389,1.3451159000396729,2.7442898750305176,6.270733594894409,11.781864881515505,24.47866892814636,54.84225487709045,111.48210597038268,570.4453828334808,,,
2.1457672119140625e-06,7.867813110351562e-06,6.9141387939453125e-06,1.621246337890625e-05,3.1948089599609375e-05,0.0002481937408447,0.0005021095275878,0.0003557205200195,0.0007300376892089,0.0016348361968994,0.0059399604797363,0.0059568881988525,0.0120520591735839,0.02357625961303711,0.0422992706298828,0.0887792110443115,0.1922612190246582,0.3518562316894531,0.6234710216522217,1.4299321174621582,2.8377461433410645,6.568576097488403,12.13607406616211,24.079262256622314,55.84532713890076,111.487163066864,580.3078627586365,,,
9.5367431640625e-07,1.2159347534179688e-05,5.960464477539063e-06,1.6927719116210938e-05,3.1948089599609375e-05,0.000230073928833,0.0005707740783691,0.0004079341888427,0.0008089542388916,0.0015521049499511,0.0090501308441162,0.0058588981628417,0.0124139785766601,0.022389888763427734,0.0446307659149169,0.0887589454650878,0.1810119152069091,0.3567428588867187,0.7075951099395752,1.4570820331573486,2.8665499687194824,6.009216070175171,12.153038024902344,24.577589988708496,53.95424699783325,114.27104878425598,576.2140560150146,,,
1.9073486328125e-06,7.152557373046875e-06,5.7220458984375e-06,1.5735626220703125e-05,3.814697265625e-05,0.0002157688140869,0.0005450248718261,0.0003600120544433,0.0040559768676757,0.0015780925750732,0.0030488967895507,0.0063617229461669,0.0118250846862792,0.022825241088867188,0.0508439540863037,0.0834569931030273,0.1807951927185058,0.3247048854827881,0.7083749771118164,1.405803918838501,2.974912166595459,5.945049047470093,12.446127891540527,23.16427206993103,54.59267687797546,121.57015419006348,588.7033560276031,,,
1.9073486328125e-06,7.867813110351562e-06,5.960464477539063e-06,1.621246337890625e-05,3.600120544433594e-05,0.000206708908081,0.0006172657012939,0.0003621578216552,0.0023763179779052,0.0014989376068115,0.0031428337097167,0.0067279338836669,0.0111870765686035,0.021818161010742188,0.0455861091613769,0.0857982635498046,0.1579420566558838,0.3493311405181885,0.717979907989502,1.3367149829864502,2.7359721660614014,6.325445890426636,12.919721841812134,26.60782623291016,52.26485872268677,123.24731802940369,597.4558842182159,,,
9.5367431640625e-07,8.106231689453125e-06,6.198883056640625e-06,1.2874603271484377e-05,3.1948089599609375e-05,0.0002298355102539,0.0004909038543701,0.000370979309082,0.0028820037841796,0.0015742778778076,0.0052428245544433,0.006117820739746,0.0113561153411865,0.021670818328857422,0.0430171489715576,0.0878920555114746,0.1666638851165771,0.3316841125488281,0.6897082328796387,1.5514590740203855,2.991851091384888,5.615363121032715,12.171119928359984,24.91966199874878,55.74296307563782,117.40412592887878,568.1977829933167,,,
9.5367431640625e-07,1.1205673217773438e-05,6.198883056640625e-06,1.2874603271484377e-05,3.0040740966796875e-05,0.0002400875091552,0.000500202178955,0.0003447532653808,0.0022768974304199,0.0015578269958496,0.0032052993774414,0.0065009593963623,0.0114002227783203,0.022350788116455078,0.0418899059295654,0.0888988971710205,0.1714479923248291,0.3328018188476562,0.6987318992614746,1.5247948169708252,2.8300023078918457,6.068512916564941,11.227498054504396,27.21272087097168,51.40400695800781,117.01090216636658,516.7763557434082,,,
9.5367431640625e-07,8.344650268554688e-06,5.960464477539063e-06,1.3113021850585938e-05,3.409385681152344e-05,0.0005147457122802,0.0004940032958984,0.000335693359375,0.0007791519165039,0.0016100406646728,0.0032789707183837,0.0061380863189697,0.0115118026733398,0.021342039108276367,0.0417368412017822,0.0894229412078857,0.1675789356231689,0.3286771774291992,0.698854923248291,1.4270930290222168,3.02604603767395,5.7296881675720215,12.228628873825071,24.507160902023315,53.34909081459045,114.73919415473938,536.8807842731476,,,
9.5367431640625e-07,6.9141387939453125e-06,8.821487426757812e-06,1.4066696166992188e-05,3.2901763916015625e-05,0.0002968311309814,0.0005621910095214,0.0003302097320556,0.0007450580596923,0.0014851093292236,0.0034623146057128,0.0062570571899414,0.0116040706634521,0.02093505859375,0.0436658859252929,0.0865290164947509,0.1789329051971435,0.4019827842712402,0.6858830451965332,1.356053113937378,3.091593980789185,5.603445053100586,11.164958000183104,24.143718242645264,53.45420789718628,107.88148665428162,547.1542820930481,,,
9.5367431640625e-07,6.9141387939453125e-06,7.390975952148437e-06,1.3113021850585938e-05,3.2901763916015625e-05,0.0003082752227783,0.0004961490631103,0.0003399848937988,0.0008690357208251,0.0016779899597167,0.0033152103424072,0.0059788227081298,0.011808156967163,0.020821094512939453,0.0461339950561523,0.0894029140472412,0.1692149639129638,0.3632481098175049,0.6893267631530762,1.3378448486328125,2.8483099937438965,6.183623313903809,12.95330262184143,26.358509063720703,55.07390594482422,108.9532380104065,578.9842939376831,,,
