k = 1,k = 2,k = 3,k = 4,k = 5,k = 6,k = 7,k = 8,k = 9,k = 10,k = 11,k = 12,k = 13,k = 14,k = 15,k = 16,k = 17,k = 18,k = 19,k = 20,k = 21,k = 22,k = 23,k = 24,k = 25,k = 26,k = 27,k = 28,k = 29,k = 30
9.5367431640625e-07,2.1457672119140625e-06,4.0531158447265625e-06,6.9141387939453125e-06,2.09808349609375e-05,7.605552673339844e-05,0.0003261566162109,0.0012128353118896,0.0139129161834716,0.0393767356872558,0.090533971786499,0.3453178405761719,1.303413152694702,5.169054985046387,20.969269037246704,84.80681896209717,338.8197329044342,1366.527745962143,,,,,,,,,,,,
9.5367431640625e-07,9.5367431640625e-07,2.1457672119140625e-06,6.9141387939453125e-06,2.09808349609375e-05,7.081031799316406e-05,0.0003149509429931,0.0012218952178955,0.0050480365753173,0.0212819576263427,0.0798678398132324,0.3244969844818115,1.2989721298217771,5.280811071395874,21.03729009628296,84.81749510765076,340.5899739265442,1363.955824136734,,,,,,,,,,,,
9.5367431640625e-07,1.1920928955078125e-06,2.1457672119140625e-06,4.76837158203125e-06,1.811981201171875e-05,7.295608520507812e-05,0.0003149509429931,0.0012211799621582,0.0052940845489501,0.0207698345184326,0.0803337097167968,0.3253219127655029,1.2913529872894287,5.295884132385254,21.318798065185547,84.41913890838623,342.2619450092316,1366.4776449203491,,,,,,,,,,,,
9.5367431640625e-07,1.1920928955078125e-06,2.1457672119140625e-06,5.0067901611328125e-06,1.7881393432617188e-05,7.510185241699219e-05,0.0002810955047607,0.0011711120605468,0.0081558227539062,0.0204322338104248,0.0794920921325683,0.3246400356292724,1.280118703842163,5.1785218715667725,21.03464818000793,85.491868019104,338.4915521144867,1349.8712759017944,,,,,,,,,,,,
0.0,9.5367431640625e-07,2.1457672119140625e-06,5.7220458984375e-06,2.2172927856445312e-05,7.891654968261719e-05,0.0003161430358886,0.0013511180877685,0.0051877498626708,0.0212688446044921,0.0827870368957519,0.3247308731079101,1.3148889541625977,5.230593204498291,20.98969006538391,84.29443097114563,336.7514650821686,1348.5326709747314,,,,,,,,,,,,
0.0,9.5367431640625e-07,2.1457672119140625e-06,5.960464477539063e-06,2.002716064453125e-05,8.296966552734375e-05,0.0002918243408203,0.0013010501861572,0.0051970481872558,0.0208089351654052,0.0795190334320068,0.3223452568054199,1.2735958099365234,5.182968854904175,21.010109901428223,84.88176226615906,339.8228530883789,1349.524385213852,,,,,,,,,,,,
0.0,9.5367431640625e-07,1.1920928955078125e-06,7.152557373046875e-06,2.408027648925781e-05,8.177757263183594e-05,0.0003130435943603,0.0012028217315673,0.0049619674682617,0.0198020935058593,0.0797131061553955,0.3170900344848633,1.2883939743041992,5.102023124694824,20.810380220413208,84.32227087020874,336.0756080150604,1358.6443161964417,,,,,,,,,,,,
9.5367431640625e-07,9.5367431640625e-07,2.1457672119140625e-06,5.7220458984375e-06,2.09808349609375e-05,9.989738464355467e-05,0.0003390312194824,0.0011918544769287,0.0050609111785888,0.0193119049072265,0.0791358947753906,0.318782091140747,1.2870090007781982,5.183427095413208,21.0559401512146,84.82418894767761,336.5554940700531,1348.5839171409607,,,,,,,,,,,,
0.0,0.0,7.152557373046875e-07,5.0067901611328125e-06,2.09808349609375e-05,7.414817810058594e-05,0.0003330707550048,0.0012519359588623,0.0052101612091064,0.0200440883636474,0.0819067955017089,0.318134069442749,1.2984108924865725,5.167878150939941,20.776676893234253,84.60373902320862,337.96108412742615,1344.8557269573212,,,,,,,,,,,,
0.0,9.5367431640625e-07,1.9073486328125e-06,4.0531158447265625e-06,1.8358230590820312e-05,7.081031799316406e-05,0.000303030014038,0.0011289119720458,0.0051870346069335,0.0205428600311279,0.0772197246551513,0.3149890899658203,1.3004980087280271,5.1511311531066895,20.734619855880737,85.2381010055542,339.2468032836914,1348.766146183014,,,,,,,,,,,,
