x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
10,77.7,71.92,75.9,82.76,100.96,88.58,105.71,89.74,92.2,100.34,102.38,94.52,116.93,101.66,103.19,110.24,93.05,113.7,113.08,124.0,99.75,103.02,100.61,128.03,114.14,104.84,133.08,126.37,112.23,109.74,143.69,134.95,117.8,125.91,122.0,147.32,117.16,153.66,147.09,130.85,138.06,123.08,136.69,126.97,125.62,138.68,137.81,143.57,134.22,129.75,122.76,137.44,130.38,134.09,166.9,143.17,150.18,147.45,140.53,147.36,153.42,149.02,145.35,134.28,153.33,164.48,146.66,145.17,143.52,151.23,145.88,151.63,150.7,143.41,152.96,150.97,166.04,153.97,176.49,162.9,162.26,173.05,164.3,157.92,186.79,166.22,159.82,191.82,169.17,159.75,155.04,182.53,168.03,171.04,172.18,162.44,182.3,152.74,173.85,185.79,177.89
11,72.76,71.53,70.47,77.2,83.38,89.87,102.79,93.93,87.32,94.06,102.99,98.77,119.0,91.7,92.35,106.87,93.32,110.43,105.66,124.39,105.09,100.58,97.57,124.2,107.22,104.12,124.53,111.37,111.44,107.56,146.67,133.54,120.73,106.8,106.97,126.47,115.13,134.53,131.55,122.53,134.03,125.66,127.27,127.52,122.8,125.81,137.66,140.43,138.17,137.22,131.13,138.01,132.64,133.45,160.05,134.56,158.33,153.67,130.89,154.79,154.17,146.02,157.5,132.05,155.45,149.98,144.62,134.55,146.98,156.54,150.71,162.56,148.77,144.31,150.34,146.58,164.33,150.02,158.29,167.54,152.16,163.31,156.48,160.1,178.14,158.21,162.86,177.6,167.13,163.55,158.88,166.55,148.84,163.56,171.55,147.73,168.65,160.87,172.01,177.88,188.38
12,71.83,73.74,67.27,70.88,79.09,89.29,94.66,83.22,91.99,87.61,94.33,93.91,102.45,92.85,88.74,100.12,88.41,109.77,106.25,120.34,99.52,97.77,102.56,117.43,97.88,99.04,132.63,105.75,115.33,98.27,125.69,119.59,113.59,118.28,116.71,121.05,100.75,138.44,123.8,120.26,136.8,116.09,115.55,138.77,114.53,125.24,131.94,129.3,144.39,136.83,129.74,126.88,119.38,142.93,133.2,132.53,147.97,150.95,149.17,140.78,147.17,139.7,138.6,146.16,140.96,142.54,153.35,138.39,145.31,146.23,146.21,148.62,144.36,147.51,139.97,151.54,167.14,149.73,151.41,147.25,152.79,165.25,155.03,149.68,160.7,162.68,161.93,160.56,163.62,156.19,158.54,165.86,157.85,158.38,158.86,148.98,174.49,159.69,164.08,168.67,170.11
13,66.18,73.14,71.88,73.78,75.2,87.69,85.69,78.54,79.12,88.39,92.93,95.74,90.11,81.22,90.21,91.26,92.98,108.43,89.99,114.88,93.54,97.56,104.15,96.33,106.63,99.1,119.05,103.08,109.31,112.91,120.56,114.67,105.97,104.89,104.19,113.08,101.85,126.9,127.37,120.27,122.21,117.78,117.43,131.61,111.68,128.51,120.43,126.32,141.32,131.76,126.83,134.1,120.51,124.32,141.5,131.5,133.21,145.87,124.07,138.5,145.3,142.09,137.78,132.68,142.14,140.88,143.61,144.14,143.28,136.74,146.52,152.01,138.98,142.32,138.89,135.77,154.22,141.29,133.5,141.57,152.02,170.09,146.6,146.3,180.32,158.2,157.34,168.39,155.07,151.58,158.71,165.99,154.02,152.51,173.08,161.52,174.92,153.56,158.71,154.58,163.99
14,62.28,69.01,62.28,68.11,67.67,81.57,79.39,76.22,71.48,92.19,83.23,89.49,86.66,80.48,84.41,97.6,85.38,97.34,92.21,112.82,95.17,89.39,89.37,108.49,102.03,93.62,117.42,100.55,98.69,100.8,113.12,118.22,102.34,104.48,104.21,116.25,102.19,123.85,123.34,129.46,126.56,107.38,119.96,119.74,115.29,125.59,117.12,113.56,129.68,121.75,122.72,125.15,120.66,130.59,140.96,125.78,135.98,140.73,133.98,130.06,158.07,139.07,138.93,134.98,145.83,146.89,140.24,139.21,134.29,138.21,158.31,141.56,151.65,138.56,158.28,145.5,159.8,163.24,147.84,134.92,153.67,163.63,151.74,144.63,178.34,156.33,141.38,164.52,161.4,159.78,146.43,169.84,148.33,170.21,149.8,155.52,166.44,152.93,153.27,162.09,158.5
15,59.64,70.98,62.91,63.56,66.11,81.15,80.38,75.12,76.83,81.45,85.15,83.22,78.86,82.06,82.27,86.02,92.3,96.78,97.73,112.11,94.75,102.11,90.58,97.65,98.7,97.09,106.77,104.48,104.85,111.28,115.38,112.65,113.63,99.37,110.12,112.36,95.69,127.47,128.75,117.1,124.73,114.16,104.01,127.55,104.41,122.51,122.73,122.0,132.59,122.24,129.91,125.94,116.55,139.63,129.49,125.66,133.37,133.18,138.36,136.43,130.13,141.29,130.53,132.77,140.34,132.32,133.2,150.26,126.51,144.46,137.14,143.86,134.39,128.44,133.47,141.94,157.99,149.82,144.81,158.22,153.1,152.27,149.43,143.1,168.75,152.06,150.53,161.49,165.26,156.08,139.92,178.04,154.38,164.2,162.0,154.76,166.24,132.52,157.63,158.79,168.36
16,55.23,60.83,61.05,62.86,61.49,74.84,72.2,66.83,76.07,76.24,79.27,79.55,79.63,84.42,88.27,89.45,83.31,96.23,93.24,100.68,93.58,85.12,93.43,104.59,98.26,99.19,103.09,106.47,100.9,108.53,109.79,114.6,110.33,102.28,97.5,102.7,98.79,123.7,127.47,111.49,131.89,115.22,106.45,121.71,114.04,107.64,122.39,109.34,128.67,118.53,128.36,133.3,114.82,135.09,133.49,124.99,132.42,124.67,136.63,129.34,121.48,148.73,135.97,120.54,133.67,134.38,131.46,137.66,145.11,134.84,148.18,142.14,140.62,137.91,145.8,148.1,141.78,136.86,151.87,156.73,143.34,161.22,141.25,150.15,154.33,156.0,135.09,149.0,154.25,162.88,144.2,164.02,150.19,160.93,152.18,151.81,161.06,144.72,154.75,167.85,181.59
17,57.69,58.65,57.35,63.52,64.65,76.16,67.13,69.09,67.96,83.3,76.73,73.46,76.76,82.3,79.38,82.54,83.49,92.53,89.85,101.69,97.21,88.75,88.18,97.33,93.55,96.8,103.51,101.26,95.5,94.77,104.47,98.61,112.86,105.58,101.18,112.07,109.14,121.67,109.06,108.13,115.93,115.32,107.64,116.62,111.43,110.66,124.37,112.62,128.99,121.73,127.52,123.67,115.62,128.38,127.79,121.01,136.14,127.44,130.08,130.21,138.49,129.79,136.29,132.32,130.33,133.9,136.08,135.97,125.22,133.7,141.53,144.41,146.86,129.02,152.81,136.62,148.44,136.05,141.83,141.9,147.0,147.59,143.35,145.56,157.86,142.93,154.85,155.91,153.89,144.98,147.43,152.15,137.65,143.29,160.36,153.18,154.83,164.62,153.91,155.78,164.4
18,55.67,58.21,55.14,60.7,61.92,75.9,70.11,69.42,70.24,80.37,72.72,72.05,76.03,81.95,79.15,76.27,85.38,85.04,83.71,92.91,78.58,83.9,88.74,99.05,91.59,90.76,98.93,100.72,100.99,87.71,110.81,97.53,110.55,106.36,103.18,111.71,98.8,114.74,120.82,114.44,114.82,115.27,101.69,114.93,107.45,123.87,113.98,117.07,116.91,118.45,121.45,127.94,118.24,123.47,123.75,121.75,127.41,135.55,126.39,129.98,141.35,141.34,131.78,126.05,137.28,129.59,132.53,134.37,136.13,123.86,130.15,127.57,129.0,137.73,138.53,139.31,139.85,140.63,144.77,142.5,148.97,141.99,149.06,142.66,158.57,148.48,135.9,152.44,142.45,150.04,131.99,155.5,142.64,152.72,163.69,158.95,154.95,145.23,154.26,148.93,170.72
19,54.7,57.46,51.88,61.48,59.41,59.8,66.09,66.91,66.2,70.88,75.89,73.43,74.47,75.48,72.5,77.28,83.94,85.51,82.73,96.93,84.87,88.82,95.72,96.27,89.22,94.19,93.02,94.75,97.12,98.45,110.77,103.53,102.28,103.43,99.64,109.04,103.65,121.08,118.67,101.92,112.21,106.66,107.51,111.84,114.48,110.63,113.03,110.0,119.04,121.22,113.13,123.5,119.93,126.94,121.54,124.23,129.63,123.9,120.35,118.12,134.25,130.62,132.13,121.57,136.1,125.31,129.01,120.4,136.95,124.71,129.96,133.63,122.46,126.72,135.68,151.61,136.62,131.07,148.58,148.82,146.13,151.31,142.83,148.8,154.41,145.37,145.53,138.7,153.86,153.39,154.21,138.09,134.21,147.01,168.2,152.27,153.72,140.07,149.07,149.76,174.44
20,52.64,56.5,51.62,59.41,54.41,55.91,63.64,64.81,65.3,69.69,67.54,73.05,69.81,68.52,75.47,82.24,90.11,82.23,80.5,87.31,81.75,86.55,88.75,86.33,94.76,86.57,92.73,93.34,94.68,95.41,94.81,97.58,93.73,94.06,102.35,104.48,101.59,104.11,103.94,109.87,114.22,106.08,104.35,115.59,107.94,118.31,119.62,103.43,130.62,109.8,119.7,123.66,114.92,128.25,119.73,117.81,135.25,131.92,128.16,126.21,129.66,130.06,136.32,115.2,133.39,125.93,130.28,143.75,136.55,124.45,135.51,135.41,126.99,137.48,134.32,136.59,136.39,128.44,126.22,148.77,140.55,147.06,140.53,152.75,146.97,150.83,137.59,136.45,152.77,149.44,149.02,145.45,150.44,149.57,155.53,159.2,154.9,149.87,151.06,139.48,152.64
21,47.63,51.82,56.57,59.06,57.89,55.03,70.74,64.09,62.97,62.73,72.84,65.47,72.01,72.06,78.42,77.27,86.23,81.42,79.02,86.34,87.91,86.33,84.99,88.45,89.66,85.98,96.32,93.18,97.3,92.84,94.95,92.54,101.42,91.49,99.78,97.27,95.09,107.8,101.43,99.69,113.32,100.56,105.51,107.03,102.88,104.52,109.53,107.17,119.95,120.5,120.3,127.7,116.1,118.82,119.83,121.55,115.96,118.99,121.97,116.24,141.95,127.32,128.07,121.84,124.58,125.9,133.33,131.29,135.34,127.97,132.18,128.21,123.83,135.48,137.2,129.35,142.68,133.96,137.28,130.67,142.61,152.99,141.75,153.53,148.4,139.94,132.21,145.32,146.15,137.23,150.61,153.8,148.15,151.09,155.11,155.48,146.06,150.49,150.48,147.05,155.12
22,49.32,46.05,45.82,53.64,56.88,52.17,62.83,65.07,66.16,69.97,64.53,68.31,71.23,71.51,71.82,75.73,79.4,82.64,78.33,75.99,79.72,82.41,90.46,79.98,89.69,77.49,95.11,95.74,95.34,89.13,91.19,95.79,87.88,91.13,106.92,99.77,96.3,108.89,114.45,106.6,102.91,101.65,101.96,112.54,101.52,116.23,107.49,111.32,114.49,116.34,110.66,117.78,115.88,117.18,123.98,118.11,119.89,124.1,117.17,124.59,129.74,134.24,121.61,126.29,116.57,125.92,129.13,122.94,123.86,130.32,124.94,137.69,138.34,118.03,135.84,133.39,144.55,131.65,141.56,131.52,150.27,152.3,145.31,146.44,147.65,138.68,141.06,144.79,144.16,132.48,148.71,143.05,140.96,141.3,153.09,150.94,155.43,137.87,149.72,155.38,156.89
23,49.27,45.43,49.16,52.33,54.03,49.71,59.89,61.79,63.98,66.87,63.05,64.8,66.12,68.61,69.08,78.07,73.59,72.63,75.82,74.89,83.83,77.88,79.47,80.38,85.97,85.4,101.38,92.47,94.46,94.83,92.33,93.98,96.44,92.31,96.71,109.53,90.66,110.26,98.86,106.72,105.83,97.92,101.23,106.11,101.91,107.04,106.26,110.19,108.48,117.14,111.42,116.55,112.47,126.27,117.87,127.81,122.99,123.18,124.26,116.9,134.4,135.41,122.23,118.82,117.49,119.83,128.21,120.61,114.85,124.62,123.96,131.78,126.35,120.73,134.49,137.32,132.28,148.33,139.11,145.25,126.08,138.9,135.7,145.58,156.66,148.75,144.86,145.62,142.4,146.54,146.35,154.31,137.85,147.58,153.28,153.65,146.51,140.41,153.46,151.54,161.26
24,43.24,46.96,46.27,49.02,50.83,48.91,59.08,64.3,59.57,64.04,62.67,68.72,69.43,68.62,78.1,75.34,73.54,69.66,78.74,80.84,75.83,82.15,81.39,80.32,89.71,83.18,98.73,87.19,90.62,87.02,101.05,93.9,93.86,92.43,98.4,98.65,94.65,99.41,93.25,108.19,99.96,99.91,104.12,97.87,105.6,106.96,114.17,108.77,116.52,115.03,114.92,119.01,110.09,113.82,119.99,125.25,111.37,122.8,117.8,116.11,128.49,129.31,122.67,113.06,129.32,124.7,128.66,125.74,128.44,124.77,132.4,130.73,142.88,130.01,139.91,141.08,140.88,132.02,129.1,144.03,130.54,148.91,133.63,133.62,139.54,141.48,146.7,148.91,139.71,132.53,127.48,136.47,143.17,140.14,139.66,149.85,144.79,134.36,148.39,151.95,167.21
25,46.44,49.76,44.47,48.66,49.67,51.09,56.25,59.67,60.7,64.98,66.13,64.33,66.91,68.74,73.46,70.52,71.96,72.41,74.51,83.35,76.08,77.01,83.9,81.81,85.89,84.57,94.61,82.2,85.81,90.65,93.01,88.5,94.76,92.78,101.58,103.2,100.89,98.04,96.56,105.06,93.6,97.81,96.33,102.45,103.81,104.53,106.79,101.91,108.32,113.2,116.75,120.78,110.58,116.66,113.86,113.71,121.25,119.42,120.74,118.87,121.76,129.04,126.69,122.92,117.21,124.18,123.37,120.17,122.15,126.61,131.02,137.76,136.1,127.81,134.85,127.96,136.35,130.09,134.48,141.18,130.83,150.31,141.12,135.16,152.56,138.06,149.15,137.68,140.71,127.45,140.22,144.33,140.45,134.94,146.16,156.55,150.67,133.83,147.18,132.47,161.23
26,43.69,40.4,45.68,51.71,51.07,48.29,59.32,63.44,59.71,58.34,61.93,61.02,63.68,72.61,71.54,77.98,70.83,77.79,75.35,75.26,76.6,77.25,78.96,78.51,83.03,78.53,92.96,85.16,94.13,87.97,97.81,93.9,96.1,94.76,96.19,92.48,90.74,98.69,94.42,106.75,96.72,103.32,95.26,104.1,101.77,111.0,110.31,102.85,112.34,106.76,106.15,117.43,111.11,111.18,109.92,115.26,124.62,115.27,121.41,121.83,125.63,118.26,124.23,120.42,125.56,119.2,120.26,121.3,120.25,118.72,120.43,132.77,131.14,118.29,129.42,135.45,134.05,131.92,133.03,137.89,136.23,140.39,123.17,132.83,133.08,131.89,134.62,144.9,142.98,139.07,136.25,136.48,140.91,140.86,134.98,151.41,143.62,134.64,142.55,129.84,174.06
27,41.71,38.74,42.16,46.54,44.68,47.63,58.98,60.14,60.85,59.88,60.36,61.75,66.19,64.22,69.21,75.68,65.94,71.45,73.59,74.77,79.84,74.34,83.28,78.77,83.57,80.84,88.92,89.11,86.29,83.97,91.87,91.46,88.39,91.55,101.92,98.13,90.82,99.09,98.72,105.66,94.84,101.01,104.13,106.4,108.51,107.54,101.99,105.27,107.89,118.45,102.03,114.32,107.01,110.98,114.05,125.02,117.4,119.17,112.99,115.48,120.78,131.19,125.11,119.81,109.32,116.44,125.63,119.27,126.84,123.66,124.79,131.72,125.13,130.31,132.54,134.13,134.23,122.59,136.1,132.69,128.46,143.4,130.87,128.55,140.99,141.72,136.19,138.39,144.16,136.25,140.43,133.96,130.48,138.27,151.46,142.8,145.93,144.11,157.53,148.78,151.8
