x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
10,72.8,80.41,80.36,102.44,88.04,82.46,91.1,91.17,97.92,91.5,97.98,90.45,121.83,95.99,85.84,97.07,101.91,121.82,94.61,117.09,107.79,108.39,121.62,112.17,113.41,111.4,111.65,121.77,135.21,118.49,133.55,120.6,116.27,108.98,128.45,126.61,122.3,138.96,141.26,127.85,119.83,150.51,135.37,133.73,125.77,133.1,129.63,137.13,161.64,135.56,122.98,122.37,144.19,145.92,168.97,140.78,152.5,149.64,157.97,160.71,146.31,149.58,149.2,155.62,140.61,167.83,161.91,166.14,147.83,146.64,159.75,136.17,164.3,145.45,159.08,158.98,153.0,149.35,165.81,189.62,148.6,161.05,180.12,158.04,166.15,161.34,169.61,151.3,166.14,162.34,150.99,144.31,182.73,185.24,192.65,170.37,179.97,195.12,162.82,165.0,154.02
11,72.93,78.28,75.51,98.09,82.15,76.15,78.71,84.16,92.08,90.56,86.38,94.33,117.92,88.16,86.54,92.29,88.47,106.99,95.67,112.32,102.96,105.49,125.64,101.25,101.29,103.97,100.97,105.82,134.01,104.22,125.46,124.19,102.02,118.58,123.02,121.72,133.74,121.31,119.16,118.92,117.36,127.92,140.96,129.96,121.65,120.87,132.95,133.23,145.93,121.08,120.33,128.21,148.68,153.61,156.11,135.71,146.36,144.82,153.58,146.44,166.95,148.9,151.31,147.33,139.64,155.62,157.96,163.27,148.48,135.86,147.65,153.54,156.29,151.5,155.28,157.53,148.5,170.5,167.64,185.34,143.56,153.72,190.39,150.09,155.5,165.7,180.14,154.37,171.07,179.9,174.63,147.38,170.33,180.13,190.82,154.72,156.08,173.79,166.76,165.69,169.43
12,70.93,85.51,70.66,84.01,78.84,69.42,76.32,76.8,87.1,91.81,104.34,89.63,90.28,86.94,82.35,93.93,84.32,106.86,93.44,99.27,105.62,101.81,109.52,105.54,100.24,101.89,110.09,109.48,118.31,114.59,122.68,127.38,111.07,116.42,128.3,113.78,122.6,127.77,118.06,116.84,116.37,132.91,151.3,118.31,117.67,120.92,125.8,138.25,136.41,126.29,122.09,123.33,150.88,146.65,152.5,130.92,149.31,142.75,141.98,135.87,174.48,157.97,139.96,136.43,139.24,154.39,154.12,165.14,145.54,140.91,141.81,138.82,163.94,141.08,149.5,148.08,159.66,160.28,146.42,166.2,157.79,149.42,183.9,145.19,142.43,143.51,158.9,137.34,166.04,157.78,166.6,165.57,153.28,177.79,176.09,146.13,169.62,161.05,160.15,173.58,164.89
13,64.43,65.66,69.04,81.9,75.67,68.73,78.54,81.65,82.99,78.72,82.95,83.81,93.81,91.19,89.92,87.27,86.39,95.03,92.56,98.73,96.61,114.06,96.88,106.85,95.36,103.52,96.88,112.17,120.93,110.9,109.15,119.75,103.71,104.08,110.39,124.41,124.33,136.3,113.61,114.06,119.92,136.01,126.85,114.77,114.58,125.43,128.01,117.65,130.94,117.77,114.93,114.11,135.06,138.19,150.34,125.25,133.31,144.22,148.14,138.32,143.59,154.67,140.76,139.08,156.74,143.5,150.59,146.54,136.19,144.2,136.96,145.8,144.71,155.3,156.76,147.63,149.11,151.54,145.76,156.9,143.15,149.03,178.11,156.27,165.64,163.3,164.87,154.54,174.63,167.56,164.96,144.94,139.2,167.38,164.69,156.39,173.55,170.79,163.99,170.46,165.16
14,66.53,60.94,63.38,78.84,67.85,69.25,80.01,79.24,72.85,80.12,89.68,69.66,86.33,82.42,86.07,84.57,81.47,99.82,88.1,98.32,94.75,97.55,100.46,99.0,101.27,101.44,94.48,108.37,122.14,100.26,116.73,122.59,102.47,110.54,108.74,114.2,119.68,128.32,106.95,102.61,113.93,125.76,133.7,117.76,119.76,116.07,130.8,111.57,123.48,132.26,113.47,132.72,129.0,147.77,162.6,126.1,146.56,141.6,130.7,135.86,154.34,139.05,139.72,138.21,144.66,148.18,145.63,154.51,138.87,132.9,131.39,137.6,154.87,153.3,144.91,145.1,157.06,156.04,155.33,150.34,149.33,148.02,164.68,153.21,138.04,155.7,150.81,138.88,145.67,153.88,150.42,154.04,166.43,161.97,174.15,154.02,169.91,153.89,152.77,166.06,156.72
15,58.38,64.27,64.58,84.59,70.05,65.5,79.08,71.25,78.43,79.06,86.03,75.66,90.76,80.55,83.19,83.39,85.83,99.38,83.1,92.63,90.96,94.84,94.85,101.92,88.45,89.37,94.63,107.21,115.4,108.24,123.02,107.29,102.07,100.59,108.12,112.13,110.79,119.83,102.57,114.8,117.68,125.03,127.02,118.76,113.83,119.88,124.73,121.3,124.4,121.65,116.63,120.09,129.97,144.06,141.86,132.42,138.61,141.8,135.56,143.04,146.09,141.59,141.58,132.51,146.75,138.83,157.68,130.92,137.78,118.22,135.16,140.24,151.29,146.83,150.46,145.8,145.44,149.94,155.43,144.92,137.62,143.65,155.86,144.8,146.08,148.67,163.74,147.75,159.82,180.84,163.52,157.45,154.91,146.72,172.9,160.03,155.0,148.36,172.79,170.34,167.78
16,62.45,61.16,63.37,76.79,66.8,65.97,74.31,67.93,78.45,84.23,79.56,72.23,87.76,84.94,81.65,82.3,73.45,77.42,85.15,90.37,89.57,95.87,103.16,92.98,90.08,104.73,85.78,91.38,112.43,100.78,106.84,109.92,96.13,109.34,97.63,98.03,106.94,123.56,102.29,105.62,102.72,134.51,131.2,114.08,117.84,111.22,123.19,119.87,130.63,112.55,124.14,125.63,128.64,129.35,143.82,139.14,141.3,130.31,131.6,134.78,141.16,157.34,132.37,128.69,149.7,138.15,154.53,150.28,128.54,138.26,134.68,139.53,155.05,141.17,155.43,142.91,146.24,153.68,130.15,144.96,141.84,149.77,169.69,142.5,149.55,147.36,142.68,141.88,142.6,155.33,159.14,155.7,156.75,177.01,159.76,156.7,152.16,140.25,150.21,173.9,147.79
17,58.21,61.42,57.3,75.25,65.46,65.33,64.02,70.53,75.65,78.49,76.39,77.93,80.95,86.49,77.41,81.79,77.49,83.45,86.49,90.03,91.16,93.06,101.89,90.32,91.6,98.31,95.9,101.2,108.26,98.21,113.46,106.51,97.57,97.29,96.71,105.55,109.22,110.46,103.83,103.82,111.74,124.78,120.83,114.36,112.59,112.0,111.03,111.71,133.08,116.76,113.0,120.01,136.53,134.5,152.34,112.32,136.76,132.71,127.94,130.61,139.2,150.09,132.27,126.74,141.22,139.63,132.44,142.43,136.13,127.17,129.24,125.39,155.56,136.51,144.23,152.67,141.19,155.58,143.02,146.69,153.02,137.64,154.4,146.42,146.87,153.18,152.99,141.47,152.96,176.32,147.45,143.75,156.05,166.59,143.13,158.72,139.22,152.19,165.57,170.05,158.72
18,63.56,58.89,58.4,71.31,62.36,58.91,62.6,70.5,63.22,78.78,76.31,69.11,77.34,77.55,73.23,76.96,77.46,87.23,82.44,87.19,85.19,85.4,93.52,91.66,89.66,93.13,90.76,93.09,112.79,93.26,110.68,92.19,98.2,97.16,100.65,101.47,104.92,115.98,98.99,104.99,107.75,116.41,114.61,114.87,112.18,115.32,118.65,115.19,113.54,117.17,110.98,118.11,122.07,131.11,146.06,114.59,134.66,135.35,116.45,140.66,132.48,135.71,125.26,118.99,143.39,141.75,139.58,141.36,125.51,133.92,131.28,133.51,149.52,147.88,144.87,147.87,141.75,143.82,137.88,151.24,139.32,145.8,184.75,136.47,147.14,154.93,140.16,142.92,144.27,154.29,141.64,154.94,168.17,160.13,144.81,142.96,158.05,157.19,160.78,169.3,150.38
19,55.28,55.57,60.28,71.86,57.37,55.49,63.57,69.54,70.47,71.0,74.68,73.22,75.14,73.59,77.67,79.02,78.54,81.59,78.38,79.65,82.71,89.57,91.32,94.93,84.61,89.94,87.02,87.69,95.48,101.85,112.01,99.77,89.72,95.1,99.78,101.58,100.62,109.14,108.25,98.05,110.01,126.02,110.65,106.71,110.52,117.63,108.93,114.96,114.52,111.02,104.66,115.32,125.54,139.96,133.3,123.17,128.49,125.41,123.89,132.49,130.59,143.7,130.45,125.24,137.46,125.45,144.52,135.19,136.34,138.06,126.04,128.58,152.51,142.39,137.95,140.93,140.04,132.72,137.57,136.57,146.93,141.67,156.75,134.89,138.12,145.52,150.21,140.1,151.13,159.5,146.04,145.15,146.84,166.41,157.35,155.49,135.35,162.04,168.44,148.1,157.6
